TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION,Facebook,Instagram,Twitter,conf
1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,19356.0,Glen Taylor,Scott Layden,Ryan Saunders,Iowa Wolves,https://www.facebook.com/MNTimberwolves,https://instagram.com/timberwolves,https://twitter.com/Timberwolves,Western
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Tom Benson,Dell Demps,Alvin Gentry,No Affiliate,https://www.facebook.com/PelicansNBA,https://instagram.com/pelicansnba,https://twitter.com/PelicansNBA,Western
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763.0,Cablevision (James Dolan),Steve Mills,David Fizdale,Westchester Knicks,https://www.facebook.com/NYKnicks,https://instagram.com/nyknicks,https://twitter.com/nyknicks,Eastern
1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,19163.0,Clay Bennett,Sam Presti,Billy Donovan,Oklahoma City Blue,https://www.facebook.com/OKCThunder,https://instagram.com/okcthunder,https://twitter.com/okcthunder,Western
1610612753,ORL,Magic,1989,Orlando,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic,https://www.facebook.com/OrlandoMagic,https://instagram.com/orlandomagic,https://twitter.com/OrlandoMagic,Eastern
1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris, ,Brett Brown,Delaware Blue Coats,https://www.facebook.com/Sixers,https://instagram.com/sixers,https://twitter.com/Sixers,Eastern
1610612756,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,,Robert Sarver,Ryan McDonough,Igor Kokoskov,Northern Arizona Suns,https://www.facebook.com/suns,https://instagram.com/suns,https://twitter.com/Suns,Western
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate,https://www.facebook.com/trailblazers,https://instagram.com/trailblazers,https://twitter.com/trailblazers,Western
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Vlade Divac,David Joerger,Stockton Kings,https://www.facebook.com/sacramentokings,https://instagram.com/sacramentokings,https://twitter.com/SacramentoKings,Western
1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,18694.0,Peter Holt,R. C. Buford,Gregg Popovich,Austin Spurs,https://www.facebook.com/Spurs,https://instagram.com/spurs,https://twitter.com/spurs,Western
1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,19800.0,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905,https://www.facebook.com/TorontoRaptors,https://instagram.com/raptors,https://twitter.com/Raptors,Eastern
1610612762,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,20148.0,Greg Miller,Dennis Lindsey,Quin Snyder,Salt Lake City Stars,https://www.facebook.com/utahjazz,https://instagram.com/utahjazz,https://twitter.com/utahjazz,Western
1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647.0,Ted Leonsis, ,Scott Brooks,Capital City Go-Go,https://www.facebook.com/Wizards,https://instagram.com/washwizards,https://twitter.com/WashWizards,Eastern
