PLAYER_ID,SEASON_ID,TEAM_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203507,2013-14,1610612749,24.6,2.2,5.4,0.414,0.5,1.5,0.347,1.8,2.6,0.683,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8
203507,2014-15,1610612749,31.4,4.7,9.6,0.491,0.1,0.5,0.159,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7
203507,2015-16,1610612749,35.3,6.4,12.7,0.506,0.4,1.4,0.257,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
203507,2016-17,1610612749,35.6,8.2,15.7,0.521,0.6,2.3,0.272,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9
203507,2017-18,1610612749,36.7,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9
203507,2018-19,1610612749,32.8,10.0,17.3,0.577,0.7,2.7,0.246,6.8,9.3,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.8,3.3,27.4
1628961,2018-19,1610612742,5.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,1.0
2546,2003-04,1610612743,36.5,7.6,17.9,0.426,0.8,2.6,0.322,5.0,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0
2546,2004-05,1610612743,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8
2546,2005-06,1610612743,36.8,9.5,19.7,0.481,0.5,1.9,0.243,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
2546,2006-07,1610612743,38.2,10.6,22.4,0.476,0.6,2.3,0.268,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9
2546,2007-08,1610612743,36.4,9.5,19.2,0.492,0.8,2.1,0.354,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
2546,2008-09,1610612743,34.5,8.1,18.3,0.443,1.0,2.6,0.371,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8
2546,2009-10,1610612743,38.2,10.0,21.8,0.458,0.9,2.7,0.316,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2
2546,2010-11,1610612743,35.5,8.7,19.3,0.452,0.8,2.5,0.333,6.9,8.3,0.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2
