Team_ID,Game_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612737,21700874,240,37,82,0.451,7,31,0.226,12,19,0.632,6,34,40,14,9,7,22,20,93
1610612737,21700853,240,38,89,0.4270000000000001,6,33,0.182,16,19,0.8420000000000001,8,35,43,25,9,4,11,21,98
1610612737,21700848,240,33,86,0.384,12,35,0.34299999999999997,14,20,0.7,14,36,50,21,7,6,12,14,92
1610612737,21700834,240,38,78,0.48700000000000004,10,29,0.345,32,37,0.865,4,31,35,27,10,3,13,26,118
1610612737,21700819,240,37,83,0.446,16,44,0.364,17,19,0.895,6,36,42,20,4,4,12,18,107
1610612737,21700811,240,37,87,0.425,12,30,0.4,12,18,0.667,9,37,46,25,4,7,17,23,98
1610612737,21700799,240,42,83,0.506,8,25,0.32,16,21,0.762,8,28,36,29,13,5,13,16,108
1610612737,21700786,240,35,87,0.402,15,33,0.455,14,19,0.737,13,31,44,25,6,3,16,12,99
1610612737,21700767,240,34,80,0.425,11,31,0.355,31,34,0.912,4,32,36,21,6,4,12,18,110
1610612737,21700755,240,39,77,0.506,12,32,0.375,20,22,0.909,4,25,29,26,5,4,9,16,110
1610612737,21700739,240,39,79,0.494,13,34,0.382,14,16,0.875,8,36,44,27,8,8,21,18,105
1610612737,21700726,240,38,88,0.4320000000000001,12,43,0.27899999999999997,16,21,0.762,11,21,32,24,2,4,12,15,104
1610612737,21700714,240,37,79,0.46799999999999997,15,30,0.5,21,25,0.84,6,33,39,23,6,5,20,26,110
1610612737,21700705,240,37,94,0.39399999999999996,7,21,0.33299999999999996,12,17,0.706,12,35,47,19,8,9,16,21,93
1610612737,21700688,240,40,83,0.48200000000000004,12,26,0.462,12,12,1.0,10,34,44,24,8,5,17,24,104
1610612737,21700675,240,35,92,0.38,11,48,0.22899999999999998,16,23,0.696,9,36,45,27,5,4,13,21,97
1610612737,21700654,240,37,89,0.41600000000000004,10,40,0.25,10,13,0.769,12,31,43,32,5,3,10,22,94
1610612737,21700641,240,40,86,0.465,9,25,0.36,13,14,0.929,11,39,50,23,8,2,15,23,102
1610612737,21700621,240,37,80,0.46299999999999997,11,28,0.39299999999999996,20,26,0.769,8,38,46,21,6,3,18,25,105
1610612737,21700612,240,40,80,0.5,12,27,0.444,18,18,1.0,6,38,44,25,6,4,16,23,110
1610612737,21700598,240,38,96,0.396,10,37,0.27,21,29,0.7240000000000001,19,37,56,20,9,8,14,26,107
1610612737,21700590,240,41,94,0.436,12,34,0.353,19,23,0.826,10,27,37,22,5,4,15,16,113
1610612737,21700576,240,30,83,0.361,8,26,0.308,21,25,0.84,11,28,39,14,7,5,16,16,89
1610612737,21700551,240,36,87,0.414,10,31,0.32299999999999995,21,25,0.84,17,23,40,18,11,3,16,22,103
1610612737,21700533,240,40,89,0.449,14,30,0.467,10,15,0.667,13,32,45,29,12,3,13,16,104
1610612737,21700522,240,38,88,0.4320000000000001,9,24,0.375,13,20,0.65,14,34,48,21,6,7,18,15,98
1610612737,21700508,240,41,94,0.436,11,37,0.297,20,29,0.69,16,37,53,28,7,7,11,21,113
1610612737,21700484,240,42,75,0.56,10,24,0.41700000000000004,18,22,0.818,6,32,38,29,5,2,15,19,112
1610612737,21700477,240,44,85,0.518,15,32,0.469,14,17,0.8240000000000001,7,20,27,28,12,3,15,24,117
1610612737,21700455,240,35,81,0.4320000000000001,8,29,0.276,17,20,0.85,11,32,43,27,5,6,13,17,95
1610612737,21700443,240,38,83,0.45799999999999996,8,22,0.364,26,31,0.8390000000000001,10,29,39,25,8,6,12,23,110
1610612737,21700425,240,34,77,0.442,12,31,0.387,14,16,0.875,7,28,35,27,12,5,17,19,94
